hate+offensive_count,non-hate_count,class,tweet
3,0,1,bossbytchh seh pussi wetter shower curtain ahmesehwet lmao
3,0,1,bro hen314 eaglesn everi eagl need see pic post bitch said racist shit
2,0,1,bvsedchink fuck skateboard wood push faggot man ball life http vbczp6hmt7 amjemiebenn
1,2,0,babyanimalp babi monkey bathtim http 7kpwadlf0r awwww soooo ador
3,0,1,baylaagottabodi 128514 128514 128514 128514 shit damn skippi lol
2,0,1,beeasyjrizzi ever kill ant sidewalk think damn nigga way get pussi must chanc
3,0,1,beenbasedb kudabrazyy http luubgl9y5u ring mvps bitch lol
2,0,1,beenflynsolo ppl talk bad ghetto hood kid grow nigga funnnnnnn
7,2,1,bestproadvic fact tattoo tattoo http zwnbhpdz8e pussi tattoo nippl
3,0,1,bill215 128175 128175 128175 nel ayden bitch want act like nigga bad 128553 128553 128553 shit aint cuteeee nigga act like bitch
3,0,1,bitchjones92 get worship bitch http r37cejcjou woof woof
2,0,1,blackchiquitita wow thatmanpalm lost buttcheek pierc http yn6guyouq6 yeah hoe
3,0,1,blacknerdjad sis would rather broke bitch shrug tell work
1,0,1,blackman38tid whalelookyher howdydowdy11 queer gaywad
3,0,1,brokenpiecesmsc itsnotadam faggot read tweet dat even funni lol
3,0,1,brosconfess bitch ungrat http 06e77bgwbx lulwhor
3,0,1,cashandboobi kidnap bitch
0,0,0,baby24 white thunduh alsarabsss hes beaner smh tell hes mexican
2,0,1,ccobey aydanmccoy happi birthday nig thank
5,0,1,chlldhoodruin teacher tell homework https rkk5vawij1 bitch need
2,0,1,caelang15 22edham caelang15 nigga eat hoe lol hell yea lol john paul nigga said john paul http osipbkpr9h
3,0,1,canifuckornah would lil ugli bald head bitch stop make make amp weav
2,0,1,carelessone92 leaf better win damn game riot shit earlychristma better start loot nig
3,0,1,causewereguy go back school suck dick hoe attend
3,0,1,causewereguy way fuck bitch http j906t5ze2r year old
3,0,1,celeynichol white thunduh come never bring food dont car retard
3,0,1,chadmfverbeck richnow show hella tinder hoe friend anymor chill brought like like propl
2,0,1,chandlerparson bout cowboy shutup pussi
3,0,1,clicquotsuav lmaooooooooooo nigga krillz nuh care http aanpsujmyi bitch want like depress shit foh
3,0,1,coley cee lil aerii girl know spit shit amp go lbvs bitch plz
3,0,1,coley cee let make coupl tweet cuzzo page get twitter jail lmao bitch trick
2,1,1,comedypost harlem shake excus full retard second
3,0,1,comedytruth amen miley 128591 http p2kb2tfyxr okay need act like hoe emot damag foh
3,0,1,corybandz one loyal femal wayyyyy better hoe idc 128175
3,0,1,crhedri pussi lick pussi meow meow stopwhitepeople2014 128049 https keegdcjs5k 8221 128533
3,0,1,dbab holloway check 12th man cowboysn even faggot fan stand
3,0,1,dgotbrick happen vixen ent bitch got ran threw side like foothil bitch
3,0,1,daedavidavi white thunduh bitch okay nude pat 128554 128527 128056 wow
0,0,0,devilgrimz vigxrart fuck gay blacklist hoe hold tehgodclan anyway http xuccwoetmn
3,0,1,diamondloudkush fuck wrong bitch nobodi know
3,0,1,dietrich1892 yall shut make bitch
2,0,1,dionairish hate pregnant type bitch
3,0,1,doyou got bitch ever read top
0,3,0,domworldpeac basebal season win yanke love start
3,0,1,dommoneek littl stupid bitch fuck yoooooouuuu
3,0,1,dreadheadari realli ask dead ass serious tho could say bitch wheet lol
0,3,0,dunderbail earli bird night owl wise worm
1,2,0,edgarpixar overdos heavi drug sound bad tonight pussi shit everi day
0,3,0,grillo1 pit bull photograph love fairi tale creatur http q0sm89oolh 8221 fairi tale creatur
3,0,1,feroci ghost 1stname bravo fag tweet lol
0,3,0,flokid88 long laker trash could careless real benbal hahaha
3,0,1,frosstyy h0rheyd say anyth tho kiss faggot
0,3,0,funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut http zuai7qwbir 128514 yup
3,0,1,g27status could fat ass bitch lap
3,0,1,gedmell miss call 128544 128545 das bitch twitter finna screamn freemoneymell
6,0,1,gtm side bitch gotta know rule shit anybodi ask cousin jersey thinkin bout move lmmfao 128514 128514 128514 128514
3,0,1,gagatom1 8220 malefoot amo los pie http 4qe1hdkk8i 8221 fuck yeah
3,0,1,girlthatsvont hoe think meat slap ass 128564 128075 ainna bruh
3,0,1,girlthatsvont yall bitch wit edg talk 128553 128564 9995 128514 128514 128514
3,0,1,girlthatsvont yall still go trick treat year nah hell yeah ima sweet tooth bandit steal bitch bag shit
3,0,1,girllssu wanna sex mom fuck right pussi came damn got hack like fuck
6,0,1,gizzi jones94 kiss eye open watch bitch lmfao
3,0,1,goofstroop woulda coulda shoulda ass hoe 128563 128586
3,0,1,gotti ltf happi bday bitch ass nigga jetsandaswish preciat bitch roll
3,0,1,hbmostdop 1jaye pipinho use send bitch
6,0,1,hbmostdop ugli bitch like wcw duh bitch nobodi els 128514 128514
2,0,1,halotgmg 1stname bravo nigga know hacki sack hoe nah throw look pass lmao
2,0,1,heartlessfuck glad get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin
1,2,0,hermosaalma ghetto smart https mpazq3jswf idc
2,1,1,hiimjorib would wife hoe cuz would care cheat forc relationship first place
3,0,1,hornyfact singl excus hoe theonemiss luu
2,0,1,hoskinsty96 white boy power bitch black power bitch
3,0,1,hudgen let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill
3,0,1,iscoutgirl verbal abrupt bitch around world back
3,0,1,itsyahboiray anelylov get dick suck parti bad bitch gone set 128514 128514 128514 128514 anelylov
2,1,1,itsyesi oomf soooo cute probabl hoe lot
3,0,1,jayten9 everi cartoon alway nuffsaid15 save hoe lmao http 9ukd8wtz6x lmao damn captain saveaho
1,2,0,jreebo want get nose bad boi scalli chav sockfetish stink http feqxgn0w6i hot sox leg
3,0,1,jamesynba wish bitch like brother keezi 128530 ooooow bet
6,0,1,jasminepor dress cat halloween basic pussi
4,0,1,jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get kati
3,0,1,joebudden stop scare choke sex bitch ass nigga 8217 like say guy hit women bed foh
3,0,1,johnny55perez white thunduh well iguess make hoe loyal bro theyll never loyal hoe nig
6,0,1,kazatta 1takehov man molli fuck seed fix
3,0,1,kelsiebelsi man refer everi girl bitch
3,0,1,keyshawnswag lmfao cat start beat shit nigga final got pussi nigga
1,2,0,keyshawnswag peel peel bring back rewind back move shaq line ooooow said trash
2,1,1,kingcuh 16stanley alu record vine sai hahahaha lol anywaaaaaay haha
3,0,1,kinghendo95 vondreaam naw old tape new cover upcom mixtap kingofthehil yeah wait hoe mayn
3,0,1,kingteej dirti foot ass bitch funni
3,0,1,king shawn white thunduh get yellow flag amaz 128079 128524 hell yeah niggi
3,0,1,kissmysmile got time bitch actin iffi
0,3,0,knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut
2,1,1,kyranadiya hoe loyal http h1ubsvbkgl smfh amp wonder nobodi decent want
3,0,1,lcistj bruh stud keep think soft hell ask girl mani time scream bitch okay stfu bye hoe
3,0,1,lodycash dri pussi bitch alway blame condom 128514 128079 128514 128079 128514
3,0,1,lunarap shut bitch ass https iemn1u0gm5 128557 128514
3,0,1,laflaregodjosh gucci mane jail drop mixtap everi month hoe even text back
3,0,1,latrobemark love hoe money wat wrong nigga
6,0,1,lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol
3,0,1,lilfridayho easi cum easi hoe fact
3,0,1,lifeasbro charli sheen real http gggdk3000ov7 major fuck respect charli sheen
3,0,1,lightskingawdd wish bae 128533 got hoe tho
3,0,1,lil mike fuck twerk bitch cook
3,0,1,linniekravitz wesgodlaflar bitch wtf http dasmycxodb
2,0,1,lipe great 8220 h0rheyd lipe great shut zoe fight pussi 8221 zoe good man good move along
3,0,1,lolaaisdop lmao fuck snake bitch
3,0,1,loveabl aizah big booti hoe everywher sheesh 128525 damn 127807 128064 127807
0,3,0,mlbnetwork stay tune mlbnetwork updat report yanke teixeiramark25 week dliming35 bum
0,3,0,rad 8220 dezdlt play soccer cheat girl wear khaki colour cargo haircut http tycihd6pkw 8221 yes lmfao soccerboy
3,0,1,madflyentist oregon choke everi year get field trash ass program rft
3,0,1,mannydiesel def cowboy lol artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch romo
0,0,0,markroundtreejr lmfaoooo hate black peopl https rnvd2nlcdr black peopl nigger
3,0,1,master11 20tolif gabrielastarr could bitch potent
1,2,0,maxmayo77 http 3jk4000r44x3 piss lad past would lick dirti sole slept
1,2,0,maxmayo77 http prrskknqrv love frat boy soft long sole
1,2,0,maxmayo77 http xpsc3makgj sexi lad hot sole arch
3,0,1,megamindnick white thunduh nah fam gotta cheat hoe depend femal feel
0,3,0,mesha noja vontethekidd 128079 128079 128079 128079 128588 got hick lol
2,0,1,migsmichelen new twitter confus shit back south america bitch
3,0,1,miikito toto mean ass vagina think pussi caus toto santi like nasti pussi
3,0,1,mikelahenri actual choos ugli bitch 58381 ass must fat
3,0,1,mileycyrus bitch could kill vibe tri 127752 127752 127752 dis love miley
3,0,1,montrel tire bitch say look mean 128530 nigga big wear tight shirt grim everybodi
0,6,0,motherjon bird grandkid may never see thank climat chang http xqmxhkaswt http rbitegrnhm climat
3,0,1,mvckfadden stay beauti bitch
3,0,1,nickiminaj wutkinda purpl ceeelee man gurl jus playin stupid hoe track still shit sum gurl
3,0,1,nastycopp money get taller bitch get blurri
2,0,1,newsomejad never seen bitch obsess nigga 128514 obsess mine 128529
2,1,1,nichola ted33 kobe stay talk trash let forget http vh4tnekvtp austin12 meant one smh
1,0,1,nochillpaz least nigger http rgja7cfoit lmfao
3,0,1,fakingg peopl alway ask mix bad asian bitch lol
1,0,1,notoriousbm95 whiteponyjr ariza snake coward least crippl like hero roach lmaoo
1,2,0,osay aint 8220 ignorealllaw foster home imaginari trash 8221 whoa chill show everyth
5,1,1,officialreplay lowkey tire tire quiet sleep hoe
3,0,1,prayingforhead 8220 macklemro stop bring weird nigger mention prayingforhead 8221 http cussdjesrk
3,0,1,prettyboss brat love hoe 128080 128581
3,0,1,patrickquelo girl cant homeboy weak bitch ass nigga
3,0,1,patsfanjoe32 palomino52 think worst advic gave pussi speed lol
3,0,1,poemsporn quot tweet favorit anim pussi
3,0,1,poetic success hate stripper tell dancer hoe ballet dancer pop pussi beethoven stripper
3,0,1,poffalici andrewbry poff doubl vision beer poff doubl pussi 128526 smh
3,0,1,poobi bitch twerk comput 128089 damn 128089 8252 65039
3,0,1,prodsjewel 8220 sreadthepeac 8220 yungmindless peacepunkprinc princ art http ephrwxmbhr 8221 nobodi takin bitch
1,2,0,quan1t0 welfar govern aid claim white peopl black slander trash
3,0,1,quan1t0 bitch care play role
6,0,1,queen kaaat took find hide lime tree iemonaid dis bitch wrong tree bro
2,1,1,rtnba drake new shoe releas nike jordan yes glitter shoe http qctplxhexm dude fag
1,2,0,rachiesoul dizzleoffici inna ghetto alon lmaoo
1,2,0,ramboutit 8220 master11 20tolif ramboutit hoe austin 8221 teach austin teach get curv know
2,0,1,reachtheeclimax bitch cook know suck dick one
3,0,1,renegademo fat hoe get chose lol
3,0,1,riahsm hoesaintloy well hoe one expect loyal
3,0,1,rishaawilliam treshon scroog nevertrustt bitch ass http amcoiny0wg
2,0,1,rnadjorel bruh tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo
3,0,1,sactownprodigi toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck
3,0,1,samjlayman holi shit freddi highmor charli chocol factori roll floor laugh
2,0,1,samirahus want sex feel like use anonym whata faggot
3,0,1,sexualgxf one follow 128525 128553 http f1tjl9xnct somebodi bitch
3,0,1,shaa jenkin bitch alway bitch clear care annoy bitch
3,0,1,shantaughth catfish hoe thinkin slick nigga catch 128524
3,0,1,shewenttojordan worri bitch worri bout real
3,0,1,showarr side hoe insecur nigga handl real one
3,0,1,shun stoke 128514 128514 128514 128514 bluprint lmao bitch come scoot tent like fuck shit 128557 128557 128557
3,0,1,shun stoke cousin said share hoe brother said share care love brother 128514
3,0,1,slimgirl probz hungri ionn wanna spend money food 128530 broke hoe problem 128514 128514 128514 128128
6,0,1,smeegbabi dese hoe lyin nigga
3,0,1,snakecharmsdump http 4b427dqzcv yeah fuck bitch
1,2,0,sportscent eli man threw nfl lead 27th intercept season lmao trash
1,2,0,sportscent usc senior anthoni brown call head coach steve sarkisian racist quit team 187 http joosdsubir bitch
3,0,1,stellatex guess also zero time mansplain adio stfu pussi
1,2,0,stephenwildboy chill 128069 8482 http mik3ipnle6 sexi scalli lad
3,0,1,strap share bitch mine mine 128175
3,0,1,sukmysweet money impress simpl broke bitch
2,1,1,sylvieamx pisc never anybodi bitch let peopl control chang rigghhht
1,2,0,tee jonez 16stanley kingcuh tuku idk blah blah blah 128514 128514 128514
1,2,0,tee jonez kingcuh 16stanley mad cuh hahaha suur tuku ita 128514 128514
3,0,1,tayknosbest hoe crazi
3,0,1,taylorr babe ever gonna slice bitch kevin hart
3,0,1,thatniggatroy oomf fuckin fine tho 128553 dam bitch
2,0,1,thegamerkingkev wonder girl gave head boy drink magaluf twitter probli send nude fag
3,0,1,thenewsat newsatquest yeah bitch yeah bitch call mayb steve later jess pinkman machinegunkelli
3,0,1,thenymphotweet hicki thigh right pussi right
3,0,1,theonemiss luu would still love longer young beauti ugli monkey ass
2,0,1,therealrickyb21 jetsandaswish gook come front bitch come
2,0,1,therealrickyb21 jetsandaswish faggot bitch http 2hyyabk4eh
3,0,1,realist sam madrid2 yea ipad work friday let ball faggot tropicalblanket work
1,2,0,theo17100 http byj1hoyhmg scalli lad would get
1,0,1,theomaxximus http 3ycrsrnjhc halloween yesterday stupid nigger
2,1,1,theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead http nb5vgdssgi
3,0,1,thornton25 8220 kantkeepahbytch love eat pussi lol never get full lol 8221 eat shit forev lol ever
3,0,1,tmacc gfg 8220 voiceofdstreetz tmacc gfg 8220 tizzimari slush 128549 8221 hoe nasti anyway fam 128564 8221 hoe tast like med 127815 127815 127868
2,1,1,tmacc gfg 8220 tizzimari slush 128549 8221 hoe nasti anyway fam 128564
2,0,1,tmacc gfg bobbi bitch bobbyshmurdags9 get live fuck hell yea play hoe workout
3,0,1,trelekidd bitch gucci mane jabarithegreat bitch stoner 128175 128175 http lt9lijjpg9 128514 128514 128514 128514 128514 128514
3,0,1,tweetgamelazi ride bitch handl bar
3,0,1,tyjoncuffe hoe get traphoussseeee
0,3,0,uberfact sad charact death still bitter http ulclfuf8nc http 1rxyqoosm0 ned stark man
3,0,1,unholi jack harbor bitch parti bus hoe lol
3,0,1,vbomb20 woodchuck20 pussi love
3,0,1,veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey http 533flbvwqh bitchi promo
3,0,1,vineforthebyrd way fuck bitch https 4lmtfnl2iy lmfao kittycopt
0,3,0,wbur smuggler explain help fighter along jihadi highway http ux4anxeawd
3,0,1,wbeezi quathegreat aww avi look cute togeth 128145 http 9lporcb8w0 128128 128128 128128 gotta get ike avi bitch
3,0,1,wbeezi run drc simpl dont hoe dont worri expos 128540 fight
3,0,1,wannabekany whys bitch boost http uod2f5wtkv size exact healthi tho
3,0,1,withaprettyfac 1nonlykeisha bet bitch 128514 128080 128299 128299 128298 128514 128514 kim bye
3,0,1,xpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco
3,0,1,xojennygirl make marack girlfriend marackaf aye pullin hoe like taught
2,0,1,xoxo angie bruno fag boy love
3,0,1,yehit von 8220 run drc must bitch 8221 128514 128514 128514 sike naw alway beef 128514
0,3,0,yanke yanke look ralli bottom 9th rallycap
3,0,1,youngricooo 8220 wexicanafro702 take advantag nice person 8221 hoe everyjuan
2,0,1,youngricooo happi birthday bitch nigga wexicanafro702 thank pal
3,0,1,youngricooo sad know hoe fuck got stack wait till friday
3,0,1,yungmigo shane cinco shit harder fucc nigga yee fucc wit rich homi cuz dat homeboy fucc nicca
3,0,1,zoebarton3 h0rheyd ewww said last sunday last sunday read nig 128563 128563 128563 128563 128563
3,0,1,bada bing punch real nigga face caus pussi nigga gonna punch right back strong mush shake
3,0,1,beedontcar pussi still fresh someth stank girl say
4,0,1,geewillik ass slap one greatest thing haha 128527 slap girl ass got mad aint get pussi week
3,0,1,tommycollin wearerichnow buffalobil yeah texan much better fuck retard see mad
2,0,1,malibubarbi wtf dark bitch blond pleas sever seat hoe look like black amp mild
4,0,1,sugga lane bitch need stay 128526 left get right fuck outta face 128557 128129 128536
3,0,1,sneakyb hate boy deni bitch 128080 128553 smh
2,0,1,taradis nig still say eat butt straight face
3,0,1,yourewelcom boss ass bitch need sit corner
3,0,1,iwantfranni hoe
3,0,1,prettyflvck0 paul thinkin bout gettin rental weekend 128665 128168 128168 oooh shit bitch betta stay street
6,0,1,rapdream bitch hold nigga get lock nigga colleg militari differ stori 128564
2,0,1,simplycaitlin friend hate ratchet hoe
2,0,1,adriwadrri love fuck nigga hoe
3,0,1,airmaxlad1 hot meat http brz8imk5vk sexi fuck scalli lad would love meet trainer
3,0,1,airmaxlad1 sniff http fhhbbrmybn perv scalli lad fuck yeah
3,0,1,alejandra p13 bitch love sosa
3,1,1,alexissixela 8220 white thunduh legit watch second 128529 8221 wtf prob caus retard smh
3,0,1,allisonnamaya name cat idea pussi
2,1,1,altosteel115 http tm28mh5xg2 woof woof sexi thug boy scalli
3,0,1,ambitiousbre 1nonlykeisha see damn phone ring 128547 128530 128542 marri bitch make demand call
3,0,1,analicialouis tevin favorit sophomor think funni hes realli lmaoo hes littl hoe
3,0,1,angelenagoley sex posit http nt3pabmwsm http jmhz8sczf0 naw call fuck soul outta bitch 128557
1,0,1,ashlingwild itsnotadam bore suppos cute faggot sometim
0,3,0,ayye ceee one man trash 128686 anoth man treasur 127942
3,0,1,babineaux got type bad bitch thing like iongotnotyp
1,0,1,bigbootybishopp white thunduh lassen coach want feel youll get nig doubt
3,0,1,bleedingtrap god teeth gold chain white bitch cocain
2,0,1,cheetahbluntz hoe hoe 128129 shhhhh
3,0,1,chieflottaho call roller chiraq call thot across america known hoe
3,0,1,clayton jenn99 gonna miss bitch bus driver lie
3,0,1,coltforty2gon hate bitch tri put friendzon bitch tryin score put endzon 128293 128293 128293 soul
1,2,0,complex ashley young tri deni bird land mouth http mlr5ewgonk https avchfj7rem hahaha
3,0,1,datfullerkid trevaughnlg yall gimp tht bitch huh lol
1,2,0,deepthroatmik boy south take ride 128525 128139 http h5matjyfga redneck woof woof
2,0,1,demi eggleton god love victoria mitchel bitch love
3,0,1,djsliim long distanc shit wack knew bitch cheat
3,0,1,fiirt right 128525 128120 128158 http jzkkivuvjc bitch smh
3,0,1,fatboyswagg347 ban dat pussi life amp gotta pay millon dollar fine
2,0,1,fuckcamoclark rose red violet blue nigger black know true dylan72892
0,3,0,g0rillaz0 sit window sill window open bird tri fli smack protecttheanim peta
3,0,1,glowstruck nigga gon nigga nigga sound fuckin retard
0,3,0,greggutfeld video entir media like mock http xfr1crxwsm crybabi
3,0,1,gurl angi itskiaraaaa westyourmajesti even shi stfu kiki mom angeliqu angeliqu smile dip cracker soup
3,0,1,haitian gold tim tebow got cut everi team nfl alreadi got hoe starkvill smh 128514 128514 128514 128514
3,0,1,hazelebabi karma bitch damn 128588 sip tea
3,0,1,hornyjhb fuckin hot gym pussi http zvymcxquta fuck yeah
0,3,0,hxhassan jihadi patron hajjaj ajmi arrest kuwait airport https zmlokfwdql
2,1,1,iampickuplin call fireman caus turn hoe
3,0,1,icrawley could never bbi lil dick thts got abort last bitch god
3,0,1,idntwearcondom watch women tri argu like dick actual fuck pussi hate bitch
3,0,1,ilgdaili smoke weed public fuck cop man wanna run come retard
0,3,0,itrapwatermelon tweeti bird tho 128514 128514 128514 128514 https jbnonm3n1p
3,0,1,irlfatti pussi sweet like watermelon http sklph3ttog thotermelon
1,2,0,itscoleharmon twitter rapper trash link http 35nmr4auqg
3,0,1,jsadass loud bitch annoy
4,0,1,jacaxeltlu eventu everi bitch turn hoe truuu
3,0,1,jaimescudi tonybthrz jaimescudi swear oomf tri talk tomorrow barackobama pussi
3,0,1,jama jam bitch pretend crazi never lie
3,1,1,jasmyncynique white thunduh bye hoe bye
1,0,1,jayswaggkillah jacki retard blondeproblem least make grill chees
2,0,1,jboii2 ima keep give pussi ass nigga reason hate
0,3,0,jethromass photo http cxrs5bvhpw sole heaven
1,0,1,jgabsss stacey dash 128166 http pdlg46rjol baddest bitch evaaaa
3,0,1,juicyyyjayyyi side bitch sunday 128514 128514 128514 128514 128514 128514
3,0,1,eazy26 fact baldhead bitch made shit 128074 128074 128555 128530 http fdyojpt9xg lmao 128553 128514
3,0,1,kayreneee fuck wit tweakin hoe shmurda
0,3,0,kazooook actin like 7th day wesgodlaflar http s9gmtevpat 128123 spook
3,0,1,kikistfu break lil bitch neck even feel sorri savag
3,0,1,leikant fuck hot scalli sneakersex sockfetish sniff trainersex http tubivxbxco love kinki scalli
2,0,1,likemicah dumb ass nigga press hoe weak fuck fuck weed hoe oreo
3,0,1,lildurk turn bitch eaterrrrrrrrr
3,0,1,lildurk trust dese hoe nikki told 51st stay fan screen shot asap finna come chiraq shoot sumn
3,0,1,marackaf 8220 white thunduh aye yall ima tryout bowl team frfr 8221 tryout pass tho there two retard
3,0,1,maybe6789 got want bitch enjoy http glqzwtgmj9 crazi parti would love attend
0,3,0,metroadlib color contact eye blinder mine caus see lmao
3,0,1,michell westt fact poonsoak dude hoe say got hoe 8221 austin12
3,0,1,midywidey rea start smack bitch period bluffin best
3,0,1,molssyo life bitch die that get high caus neva know gonna sister perfect
3,0,1,molssyo one drug still wrong 128514 currieburri hahahahahahah bitch sometim
2,0,1,morgandayle feel pretti fuckin ghetto smh
0,3,0,nohand 20tolif nohand dejaaleeann coleman2 swear man easili easili behind austin nip
3,0,1,obey jrock true ride die bitch 128175 http bkwhx83fkw fuck hahahahah
0,4,0,oldpicsarch well charli chaplin http stiddhk3wt histori photographi
3,0,1,ortiz jaylen see bruno bitch ass twitter wtf bruno see drake voic
3,0,1,ozzi garza white thunduh cool faggot chill cool nigga
3,0,1,ozzi garza white thunduh sure bitch frfr
3,0,1,poppunksuck twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet
3,0,1,queendulaaa got coupl bitch say know 8217 let money talk 128526 128076 like wwyd
3,0,1,realfort grudg weirdo bitch
0,2,0,rhythmixx told mariam cigarett birthday also call trash
0,3,0,riananewman 22edham browni tonight kind
3,0,1,rollyup23 text back give fuck text anoth bitch damn someon hurt lol
5,0,1,ronald iongi ummmmmm okay http 4bvlsci5k5 got hoe left right 128514 128514 yah thang
3,0,1,royalswagg use find slope ass
0,3,0,rugbysocklad fit lad nice gear http thnxx1lc1m scalli lad trainer would get
3,0,1,rugbysocklad hell yeah bro http 9yib45ud6c fuck yeah sexi scalli lad hot gear
3,0,1,rugbysocklad help mate http emnado1qoj love scalli play fuck yeah
2,1,1,rugbysocklad lad lad http f3ujcyj4of fuck yeah love scalli lad action hot trainer
3,0,1,savag twoton next year bitch gonna like gotta promis expos 128514 128514 128557
3,0,1,scallynikelad 8220 sleazytwink hot opcinjen lick bitch http jloukqdcom 8221 fuck yeah eat trainer dirti fucker
3,0,1,sierrabernia 8220 t2g cincokilbi think celebr pussi differ local 128514 8221 yeah meghan good
2,4,0,sleepi yongguk saw ajumma walk begin say wow trash even listen 128514 lmaoo
3,0,1,sniffsockslad need sox http xydb1rchxh fuck yeah love kinki scalli lad rank sox sneak
2,0,1,snoleezey801 ever expos femal like childish bitch nigga shiiii
3,0,1,socass 00sexilexi00 socass yasss trys new thing bestfriend bitch love
0,2,0,socass dude rememb wop video 00sexilexi00 http p3heuboqbu omg find
2,1,1,soxandjox thick raw fuck http g8rvuhcebn damn man pussi get workout
0,3,0,soxdawg rawr skinrubberboi sexi french scalli love frenchscal http 5idq3r5akz sexi scalli woof woof
3,0,1,splurgb nothin life free bitch need write panti 128557 128514
3,0,1,stephencdo currieburri one bitch want burrito catch potosino huh haha
