,hate+offensive_count,non-hate_count,class,tweet
135,3,0,1,gotti_ltf happi bday bitch ass nigga jetsandaswish preciat bitch roll
136,3,0,1,hbmostdop 1jaye pipinho use send bitch
137,6,0,1,hbmostdop ugli bitch like i'm wcw duh bitch ain't nobodi els 128514 128514
138,3,0,1,halotgmg 1stname_bravo nigga know hacki sack hoes. ...nah throw look pass lmao
139,3,0,1,heartlessfuck glad i'm get outta atlanta. noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em.
140,1,2,0,hermosaalma ghetto.....it smart https t.co mpazq3jswf i'm idc
141,2,1,1,hiimjorib would wife hoe cuz care cheat other. ...whi forc relationship first place
142,3,0,1,hornyfact singl excus hoe. theonemiss_luu
143,3,0,1,hoskinsty96 white boy power bitch black power bitch
144,3,0,1,hudgens_11 let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill.
145,3,0,1,iscoutgirl verbally_abrupt bitch around world back.
146,3,0,1,itsyahboiray anelylov get dick suck parti bad bitch i'm gone set 128514 128514 128514 128514 anelylov
147,2,1,1,itsyesi oomf soooo cute. probabl hoe lot.
148,3,0,1,jayten9 everi cartoon alway _nuffsaid15 save hoe lmao. http t.co 9ukd8wtz6x lmao damn captain saveaho
149,1,2,0,jreebo want get nose bad boi scalli chav sockfetish stink http t.co feqxgn0w6i hot sox leg
150,3,0,1,jamesynba wish bitch like brother keezi 128530 ooooow bet
151,6,0,1,jasminepor dress cat halloween basic. ...or pussi
152,4,0,1,jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get kati
153,3,0,1,joebudden stop scare choke sex bitch ass niggas. 8217 like it. say guy hit women bed. foh
154,3,0,1,johnny55perez white_thunduh well iguess make hoe loyal bro theyll never loyal hoe nig
155,6,0,1,kazatta 1takehov man.. molli fuck seed fix
156,3,0,1,kelsiebelsi man refer everi girl bitch
157,3,0,1,keyshawnswag lmfao cat start beat shit nigga final got pussi nigga
158,1,2,0,keyshawnswag peel peel bring back rewind back i'm move shaq line ooooow said trash
159,2,1,1,kingcuh 16stanley alu record vine sai hahahaha lol anywaaaaaays..... haha
160,3,0,1,kinghendo95 vondreaam naw old tape. new cover upcom mixtap kingofthehil yeah i'm wait hoe mayn
161,3,0,1,kingteej_ dirti foot ass bitches.. funni me.
162,3,0,1,king_shawn_6 white_thunduh that get yellow flag amaz 128079 128524 hell yeah niggi
163,3,0,1,kissmysmile got time bitch actin iffy.
164,0,3,0,knightfann ucfpinkparti come stay aliv knight nation still earli bird special. comeatmeut
165,2,1,1,kyranadiya_ hoe ain't loyal ain't http t.co h1ubsvbkgl smfh amp wonder nobodi decent want
166,3,0,1,lcistj bruh stud keep think i'm soft hell. ask girl mani time scream bitch. okay. stfu. bye hoe
167,3,0,1,lodycash dri pussi bitch alway blame condom 128514 128079 128514 128079 128514
168,3,0,1,lunarap shut bitch ass https t.co iemn1u0gm5 128557 128514
169,3,0,1,laflaregodjosh gucci mane jail drop mixtap everi month hoe can't even text back
170,3,0,1,latrobemark love hoe money wat wrong nigga
171,6,0,1,lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo. ...sound like lol
172,3,0,1,lilfridayho easi cum easi hoe that fact
173,3,0,1,lifeasbro charli sheen real http t.co gggdk3kov7 major fuck respect charli sheen.
174,3,0,1,lightskingawdd wish bae 128533 got hoe tho
175,3,0,1,lil_mike_12 fuck twerk bitch cook
176,3,0,1,linniekravitz wesgodlaflar bitch wtf http t.co dasmycxodb
177,3,0,1,lipe_the_great 8220 h0rheyd lipe_the_great shut zoe fight pussi 8221 zoe i'm good man. good ma'am. move along
178,3,0,1,lolaaisdop lmao fuck snake bitch
179,3,0,1,loveable_aizah big booti hoe everywher sheesh 128525 damn 127807 128064 127807
180,0,3,0,mlbnetwork stay tune mlbnetwork updat report yanke teixeiramark25 8-10 week dliming35 bum
181,0,3,0,m_rad 8220 dezdlt play soccer cheat girl wear khaki colour cargo haircut http t.co tycihd6pkw 8221 yes lmfao soccerboy_04
182,3,0,1,madflyentist oregon choke everi year get field trash ass program rft
183,3,0,1,mannydiesel def cowboy lol artoffloyd terrel owen best eagl amp cowboy ever ..dude cri like bitch romo
184,3,0,1,markroundtreejr lmfaoooo hate black peopl https t.co rnvd2nlcdr there black peopl nigger
185,3,0,1,master11_ 20tolife_ gabrielastarr could bitch potent
186,1,2,0,maxmayo77 http t.co 3jk4kr44x3 piss lad past out. would lick dirti sole slept.
187,1,2,0,maxmayo77 http t.co prrskknqrv love frat boy soft long sole
188,1,2,0,maxmayo77 http t.co xpsc3makgj sexi lad hot sole arches.
189,3,0,1,megamindnick white_thunduh nah fam gotta cheat hoe depend femal feel
190,0,3,0,mesha_noja _vontethekidd 128079 128079 128079 128079 128588 got hick lol
191,3,0,1,migsmichelen new twitter confus shit me. back south america bitch
192,3,0,1,miikito_x3 toto mean ass vagina think pussi caus toto santi like nasti pussi
193,3,0,1,mikelahenri actual choos ugli bitch 58381 ass must fat
194,3,0,1,mileycyrus bitch kill vibe tried. 127752 127752 127752 dis love miley
195,3,0,1,montrell_ i'm tire bitch say look mean.. 128530 nigga big wear tight shirt grim everybody.
196,0,6,0,motherjon bird grandkid may never see thank climat chang http t.co xqmxhkaswt http t.co rbitegrnhm climat
197,3,0,1,mvckfadden stay beauti bitch
198,3,0,1,nickiminaj wutkinda purple. ceeelee man gurl jus playin stupid hoe track. still shit sum gurl
199,3,0,1,nastycopp money get taller bitch get blurri
200,3,0,1,newsomejad ain't never seen bitch obsess nigga 128514 i'm obsess mine 128529
201,2,1,1,nicholas_ted33 kobe stay talk trash. let forget http t.co vh4tnekvtp j_austin12 meant one. smh.
202,3,0,1,nochillpaz least i'm nigger http t.co rgja7cfoit lmfao
203,3,0,1,no_fakingg peopl alway ask i'm mix with. bad asian bitch lol
204,3,0,1,notoriousbm95 _whiteponyjr_ ariza snake coward least crippl like hero roach lmaoo
205,1,2,0,osay_it_aint_so 8220 ignorealllaw foster home imaginari trash 8221 whoa chill show everyth
206,5,1,1,officialreplay lowkey tired. ...if tire quiet sleep hoe
207,3,0,1,prayingforhead 8220 macklemro stop bring weird nigger mention prayingforhead 8221 http t.co cussdjesrk
208,3,0,1,prettyboss_brat love hoe 128080 128581
209,3,0,1,patrickquelo girl cant homeboy weak bitch ass nigga
210,3,0,1,patsfanjoe32 d_palomino52 think worst advic gave pussi speed lol
211,3,0,1,poemsporn quot tweet favorit animal. pussi
212,3,0,1,poetic_success hate stripper tell they'r dancer hoe ballet dancer pop pussi beethoven. stripper
213,3,0,1,poffalici andrewbry poff doubl vision beer poff ... doubl pussi 128526 smh
214,3,0,1,poobie_ bitch twerk computer.... 128089 damn 128089 8252 65039
215,3,0,1,prodsjewel_ 8220 sreadthepeac 8220 yungmindless peacepunkprinc princ art. http t.co ephrwxmbhr 8221 nobodi takin bitch
216,1,2,0,quan1t0 welfar govern aid claim white people. y'all black slander trash now.
217,3,0,1,quan1t0 bitch care play role.
218,6,0,1,queen_kaaat took find hide lime tree. iemonaid dis bitch wrong tree bro.
219,5,1,1,rtnba drake new shoe releas nike jordan.... yes there glitter shoe http t.co qctplxhexm ....dude fag
220,1,2,0,rachiesoul dizzleoffici inna ghetto alon lmaoo
221,1,2,0,ramboutit 8220 master11_ 20tolife_ ramboutit hoe austin 8221 teach austin. teach get curv that know
222,3,0,1,reachtheeclimax bitch can't cook know suck dick one
223,3,0,1,renegademo fat hoe get chose lol
224,3,0,1,riahsm hoesaintloy well they'r hoe one expect loyal
225,3,0,1,rishaawilliam treshon_scroog _nevertrustt bitch ass http t.co amcoiny0wg
226,3,0,1,rnadjorel bruh tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo
227,3,0,1,sactownprodigi toni romo mav game dont mean still bitch lmao.. fuk cowgirl lol bitch fuck
228,3,0,1,samjlayman holi shit freddi highmor charli chocol factori roll floor laugh
229,3,0,1,samirahusic_ want sex feel like i'm use her.. anonym whata faggot
230,3,0,1,sexualgxf one follow 128525 128553 http t.co f1tjl9xnct somebodi bitch
231,3,0,1,shaa_jenkin bitch alway bitch clear care annoy bitch
232,3,0,1,shantaughth catfish hoe thinkin slick.. nigga catch 128524
233,3,0,1,shewenttojordan can't worri bitch ain't worri bout real
234,3,0,1,showarr side hoe insecur nigga can't handl real one.
235,3,0,1,shun_stok 128514 128514 128514 128514 bluprint_4 lmao bitch come scoot tent like fuck shit 128557 128557 128557
236,3,0,1,shun_stok cousin said share hoe brothers. said share care love brother 128514
237,3,0,1,slimgirl_probz i'm hungri ionn wanna spend money food 128530 broke hoe problem 128514 128514 128514 128128
238,6,0,1,smeegbabi dese hoe lyin nigga
239,3,0,1,snakecharmsdump http t.co 4b427dqzcv yeah fuck bitch
240,1,2,0,sportscent eli man threw nfl-lead 27th intercept season. lmao trash
241,1,2,0,sportscent usc senior anthoni brown call head coach steve sarkisian racist quit team. 187 http t.co joosdsubir he bitch
242,3,0,1,stellatex guess also zero time mansplain adio stfu pussi
243,1,2,0,stephenwildboy chill 128069 8482 http t.co mik3ipnle6 sexi scalli lad
244,3,0,1,strap__ ain't share bitch mine mine 128175
245,3,0,1,sukmysweet money impress simpl broke bitch
246,2,1,1,sylvieamx pisc never anybodi bitch let peopl control chang them. rigghhht
247,1,2,0,tee_jonez 16stanley kingcuh tuku idk blah blah blah 128514 128514 128514
248,1,2,0,tee_jonez kingcuh 16stanley i'm mad cuh hahaha suure.. tuku ita 128514 128514
249,3,0,1,tayknosbest hoe crazi
250,3,0,1,taylorr_babe ain't ever gonna slice bitch. kevin hart.
251,3,0,1,thatniggatroy oomf fuckin fine tho 128553 dam bitch.
252,3,0,1,thegamerkingkev wonder girl gave head boy drink magaluf twitter probli send nude fag
253,3,0,1,thenewsat newsatquest yeah bitch yeah bitch call _______ mayb steve-o later jess pinkman machinegunkelli
254,3,0,1,thenymphotweet hicki thigh right pussi right
255,3,0,1,theonemiss_luu would still love i'm longer young beauti no. ugli monkey ass.
256,3,0,1,therealrickyb21 jetsandaswish gook____ y'all come front. bitch ain't come
257,3,0,1,therealrickyb21 jetsandaswish faggot bitch http t.co 2hyyabk4eh
258,3,0,1,the_realist_sam madrid2_ yea i'm ipad. work friday. let ball faggot tropicalblanket work 2-5
259,1,2,0,theo17100 http t.co byj1hoyhmg scalli lad would get
260,3,0,1,theomaxximus http t.co 3ycrsrnjhc halloween yesterday stupid nigger
261,2,1,1,theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead http t.co nb5vgdssgi
262,3,0,1,thornton25 8220 kantkeepahbytch love eat pussi lol never get full lol 8221 eat shit forev lol ever.
263,3,0,1,tmacc_gfg 8220 voiceofdstreetz tmacc_gfg 8220 tizzimari slush 128549 8221 hoe nasti anyway fam 128564 8221 hoe tast like med 127815 127815 127868
264,2,1,1,tmacc_gfg 8220 tizzimari slush 128549 8221 hoe nasti anyway fam 128564
265,3,0,1,tmacc_gfg bobbi bitch-bi bobbyshmurdags9 get live fuck hell yea play hoe workout
266,3,0,1,trelekidd bitch gucci mane jabarithegreat bitch stoner 128175 128175 http t.co lt9lijjpg9 128514 128514 128514 128514 128514 128514
267,3,0,1,tweetgamelazi ride bitch handl bar
268,3,0,1,tyjoncuffe ain't hoe get traphoussseeee
269,0,3,0,uberfact sad charact death we'r still bitter over... http t.co ulclfuf8nc http t.co 1rxyqoosm0 ned stark man
270,3,0,1,unholy_jack harbor bitch parti bus hoe lol
271,3,0,1,vbomb20 woodchuck20 pussi love
272,3,0,1,veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey http t.co 533flbvwqh bitchi promo
273,3,0,1,vineforthebyrd way fuck bitch https t.co 4lmtfnl2iy lmfao kittycopt
274,0,3,0,wbur smuggler explain help fighter along jihadi highway http t.co ux4anxeawd
275,3,0,1,wbeezy_ quathegreat aww avi look cute togeth 128145 http t.co 9lporcb8w0 128128 128128 128128 gotta get ike avi bitch
276,3,0,1,wbeezy_ run_drc simpl dont hoe dont worri expos 128540 fight
277,3,0,1,wannabekany whys bitch boost http t.co uod2f5wtkv size exact healthi tho
278,3,0,1,withaprettyfac _1nonlykeisha bet bitch 128514 128080 128299 128299 128298 128514 128514 kim bye
279,3,0,1,x_xpdotjdot damn near gotta protect tweets.. stalker annoy got dope dick. drive bitch loco
280,3,0,1,xojennygirl i'm make marack girlfriend marackaf aye pullin hoe like taught
281,3,0,1,xoxo__angie bruno fag boy love me.
282,3,0,1,yehits_von 8220 run_drc must bitch 8221 128514 128514 128514 sike naw alway beef 128514
283,0,3,0,yanke 6-1 yanke look ralli bottom 9th. rallycap
284,3,0,1,youngricooo 8220 wexicanafro702 take advantag nice person 8221 hoe everyjuan
285,3,0,1,youngricooo happi birthday bitch nigga wexicanafro702 thank pal
286,3,0,1,youngricooo sad know hoe fuck ain't got stacks. wait till friday
287,3,0,1,yungmigo shane_a1 cinco shit harder fucc nigga yee fucc wit rich homi cuz dat homeboy fucc nicca
288,3,0,1,zoebarton3 h0rheyd ewww said last sunday..a last sunday there. read nig 128563 128563 128563 128563 128563
289,4,0,1,_bada_b punch real nigga face caus pussi nigga gonna punch right back strong mush shake..
290,3,0,1,_beedontcar pussi still fresh ----- someth stank girl say.
291,4,0,1,_geewillikers_ ass slap one greatest things. haha. 128527 slap girl ass. got mad aint get pussi week
292,3,0,1,_tommycollin wearerichnow buffalobil yeah texan much better fuck retard see mad this.
293,3,0,1,__malibubarbi wtf dark bitch blonde.. pleas sever seat hoe ..look like black amp mild
294,4,0,1,__sugga there lane bitch need stay 128526 left get right fuck outta face 128557 128129 128536
295,3,0,1,__sneakyb hate boy deni bitch 128080 128553 smh
296,3,0,1,__taradise__ nig still say y'all eat butt straight face
297,3,0,1,__yourewelcom boss ass bitch ...that need sit corner
298,3,0,1,_iwantfranni he hoe can't
299,3,0,1,_prettyflvck0 paul thinkin bout gettin rental weekend 128665 128168 128168 oooh shit bitch betta stay street
300,6,0,1,_rapdream bitch hold nigga get lock up... nigga colleg militari differ story. 128564
301,3,0,1,_simplycaitlin friend hate ratchet hoe..
302,3,0,1,adriwadrri love fuck nigga hoe
303,3,0,1,airmaxlad1 hot meat http t.co brz8imk5vk sexi fuck scalli lad. would love meet trainers.
304,3,0,1,airmaxlad1 sniff http t.co fhhbbrmybn perv scalli lad. fuck yeah.
305,3,0,1,alejandra_p13 bitch love sosa
306,3,1,1,alexissixela__ 8220 white_thunduh legit watch second 128529 8221 wtf prob caus retard smh
307,3,0,1,allisonnamaya_ name cat idea pussi
308,2,1,1,altosteel115 http t.co tm28mh5xg2 woof woof. sexi thug boy scally.
309,3,0,1,ambitiousbre _1nonlykeisha see damn phone ring 128547 128530 128542 marri bitch make demand call
310,3,0,1,analicialouis tevin favorit sophomor think he funni hes realli not. lmaoo hes littl hoe
311,3,0,1,angelenagoley sex posit http t.co nt3pabmwsm http t.co jmhz8sczf0 naw call fuck soul outta bitch 128557
312,3,0,1,ashlingwild itsnotadam bore suppos cute faggot sometim
313,0,3,0,ayyee_ceee_ one man trash 128686 anoth man treasur 127942
314,3,0,1,babineaux_ got type. bad bitch thing like iongotnotyp
315,3,0,1,bigbootybishopp white_thunduh lassen coach want feel youll get nig doubt
316,3,0,1,bleedingtrap god teeth gold chain white bitch cocain
317,3,0,1,cheetahbluntz_ hoe hoe 128129 shhhhh
318,3,0,1,chieflottaho d.c. call roller chiraq call thots. across america known hoe.
319,3,0,1,clayton_jenn99 i'm gonna miss bitch bus driver... won't. lie
320,3,0,1,coltforty2gon hate bitch tri put friendzone. bitch i'm tryin score put endzon 128293 128293 128293 on. my. soul
321,1,2,0,complex_uk ashley young tri deni bird land mouth --- http t.co mlr5ewgonk https t.co avchfj7rem hahaha
322,3,0,1,datfullerkid trevaughnlg yall gimp ain't tht bitch huh lol
323,1,2,0,deepthroatmik boys_south take ride 128525 128139 http t.co h5matjyfga redneck woof woof
324,3,0,1,demi_eggleton god love victoria mitchel bitch love
325,3,0,1,djsliim long distanc shit wack knew bitch cheat
326,3,0,1,fiirt he right 128525 128120 128158 http t.co jzkkivuvjc bitch smh
327,3,0,1,fatboyswagg347 ban dat pussi life amp gotta pay 2.5 millon dollar fine
328,3,0,1,fuckcamoclark rose red violet blue nigger black know that true. dylan72892
329,0,3,0,g0rillaz0 sit window sill window open bird tri fli in. smack it. protecttheanim peta
330,3,0,1,glowstruck nigga gon nigga nigga. sound fuckin retard
331,0,3,0,greggutfeld video entir media like mock. http t.co xfr1crxwsm crybabi
332,3,0,1,gurl_im_angi itskiaraaaa westyourmajesti i'm even shi stfu kiki mom angeliqu angeliqu smile dip cracker soup
333,3,0,1,haitian__gold tim tebow got cut everi team nfl alreadi got hoe starkville. smh. 128514 128514 128514 128514
334,3,0,1,hazelebabi karma bitch damn 128588 sip tea
335,3,0,1,hornyjhb fuckin hot gym pussi http t.co zvymcxquta fuck yeah
336,0,3,0,hxhassan jihadi patron hajjaj al-ajmi arrest kuwait airport https t.co zmlokfwdql
337,2,1,1,iampickuplin call fireman caus turn hoe on.
338,3,0,1,icrawley could never bbi lil dick thts got abort last bitch god
339,3,0,1,idntwearcondom watch women tri argu like dick actual fuck pussi hate bitch
340,3,0,1,ilgdaili smoke weed public fuck cop man wanna run come retard
341,0,3,0,itrapwatermelon tweeti bird tho 128514 128514 128514 128514 https t.co jbnonm3n1p
342,3,0,1,irlfatti pussi sweet like watermelon http t.co sklph3ttog thotermelon
343,1,2,0,itscoleharmon_ twitter rapper trash link http t.co 35nmr4auqg
344,3,0,1,jsadass loud bitch annoy
345,4,0,1,jacaxeltlu eventu everi bitch turn hoe. truuu
346,3,0,1,jaimescudi_ tonybthrz_ jaimescudi_ swear oomf tri talk tomorrow.. barackobama pussi
347,3,0,1,jama_jam bitch pretend crazy.. ain't never lied...
348,3,1,1,jasmyncynique white_thunduh bye hoe bye
349,3,0,1,jayswaggkillah jacki retard blondeproblem least make grill chees
350,3,0,1,jboii2 ima keep give pussi ass nigga reason hate
351,0,3,0,jethromass photo http t.co cxrs5bvhpw sole heaven
352,3,0,1,jgabsss stacey dash 128166 http t.co pdlg46rjol baddest bitch evaaaa
353,3,0,1,juicyyyjayyyi side bitch sunday 128514 128514 128514 128514 128514 128514
354,3,0,1,k_eazy26 fact baldhead bitch made shit. 128074 128074 128555 128530 http t.co fdyojpt9xg lmao 128553 128514
355,3,0,1,kayreneeee_ fuck wit tweakin hoe shmurda
